chargeDeviceID,reference,name,latitude,longitude,chargeDeviceStatus
496d691d99a11c0c98a1611ad4b1d52e,SRC_LDN60255,Claremont Road,51.394559,-0.304312,In service
9c3508e704aa16945cf79b05af57848c,SRC_LDN60256,Clarendon Rise/Albion Way Car Park,51.460762,-0.008725,In service
ee15c3ff282db9cfc0557a4117c5edd0,SRC_LDN60257,Clements Road Multi Storey CP ,51.557015,0.072065,In service
5958c80aabbcd2a448be9c36f0dfb50c,SRC_LDN60258,Clifton Villas,51.522475,-0.185270,In service
83c733dc5d84598104562151cc1c79b3,SRC_LDN60261,Concert Hall Approach,51.504865,-0.115390,In service
3e450e4af4a57d230a480691c7b26a04,SRC_LDN60262,Copperfield Street,51.503093,-0.097657,In service
a82edd56d1ef3f81e94fefac1757ff8f,SRC_LDN60263,Cornthwaite Road,51.557990,-0.052564,In service
38c37b881d026580ef22a9e4677f8096,SRC_LDN60264,Coverton Road,51.428398,-0.173291,In service
224c6aa84b57848656f7dfd11cd67d34,SRC_LDN60266,Crouch Hall Road Car Park,51.579177,-0.124935,In service
f3d24e8d7784db1ed4ec0b98c85e1df8,SRC_LDN60267,Croydon Nissan,51.348263,-0.100816,In service
ea3840c049893ef0051edf8bb6fa23f8,SRC_LDN60268,Currie Motors (Great West Road),51.490509,-0.308720,In service
e623ff4f394d554c5a1d095987994377,SRC_LDN60269,Currie Motors Isleworth,51.467370,-0.333691,In service
00edca0eac577434ebe1b76715e828ec,SRC_LDN60270,Currie Motors Kingston,51.415346,-0.252016,In service
0820738ec28ccc2b06a82d833d0ba1e8,SRC_LDN60271,Currie Motors Twickenham,51.454390,-0.337230,In service
0341610337a295be1b50f527a701bc75,SRC_LDN60272,Cuthbert Road,51.615281,-0.063994,In service
6abe352b723cebdc0b6b9e28d8ff40aa,SRC_LDN60273,Danby Street,51.466592,-0.073433,Out of service
c25eb64a3eb4fdbee9c8ec96efcc53f6,SRC_LDN60274,Danecroft Road,51.456087,-0.093134,In service
c8306dd6f56237f32fd2f50c8bb7a566,SRC_LDN60276,Doddington Grove,51.486509,-0.103129,In service
1be70c69cc6de24490ac34b68bd64a0c,SRC_LDN60278,Doughty Street,51.524617,-0.117504,Out of service
a13f3ba20b13b210c59faf8017d236c8,SRC_LDN60279,East Dulwich Grove,51.459683,-0.075494,Out of service
64b856008505d7261b5df826362ae3b8,SRC_LDN60281,Eaton Square,51.494528,-0.153679,In service
fd5b92cbb6b0596ab3cc6b8ce5a94668,SRC_LDN60282,Epsom General Hospital,51.324567,-0.273913,In service
fcdae5acb17cd164a212d497d591b2ba,SRC_LDN60283,Epsom Race Course ,51.313482,-0.253523,In service
111d10c784b62405e0ce2f721ccc1acc,SRC_LDN60284,Euston Station Car Park 1,51.527632,-0.132849,In service
9800a941e051517633763a1de894bdd2,SRC_LDN60285,ExCeL London Exhibition Centre 1,51.507979,0.027732,In service
a38b49209472b0772d3937c7ec229295,SRC_LDN60286,Exchange Shopping Centre Car Park 1,51.463980,-0.216975,Out of service
7f35b00da0f2864d5bd499a013bd8a63,SRC_LDN60287,Exeter Street,51.511797,-0.119935,In service
5ecf438e3ba6480cc3a438114d08f6c5,SRC_LDN60288,Fairfield Road,51.409197,-0.299860,In service
0e6a5ac64d865d6ac07c2fce64d7b1ba,SRC_LDN60289,Fairfield Road Car Park ,51.513900,-0.472019,In service
74a026491d88fb1a903fa60bcdb5fed2,SRC_LDN60291,Featherstone Terrace Car Park,51.503302,-0.383114,In service
f807d346ea8dca278c97b975e1f81580,SRC_LDN60292,Fleet Road,51.553554,-0.162209,Out of service
b8e4ffcba1f8184a704c00fe3ba67999,SRC_LDN60293,Fore Street ,51.614933,-0.064182,In service
0db1bf9a0326038fe66d8a95af74919b,SRC_LDN60294,Francis Street 1,51.495977,-0.137269,In service
e7cc4e909f739405272e79cfa00367f3,SRC_LDN60295,Frankham Street car park,51.477174,-0.024658,Out of service
e2f5bebf17a82cde2f8f86fee5a83e22,SRC_LDN60296,Garnet Road car park,51.398009,-0.097391,Out of service
679b4e067ae5950e56c31ced459a841d,SRC_LDN60298,Gatwick Airport North Terminal,51.160771,-0.175473,Out of service
ae5314a8da1e6872ec5b45d207e97671,SRC_LDN60299,Gatwick Airport South Terminal,51.156806,-0.159427,Out of service
92438c080af2aea5eab3352f8cc07875,SRC_LDN60300,Genotin Road,51.650837,-0.079320,In service
004978819088d183a8f9841c6d2aa432,SRC_LDN60302,Gomm Road,51.495448,-0.053228,In service
f33d24234403ab352c4fcaaa86d9aedf,SRC_LDN60304,Grainges Car Park,51.545902,-0.481663,In service
753cfb115e2db521cd069a1ba64a1aa1,SRC_LDN60306,Granville Gardens Car Park,51.413467,-0.124115,Out of service
58391e8604e4fc624fdb8114d42d1b65,SRC_LDN60307,Green Lane Car Park,51.611882,-0.427425,In service
7001d40712221de0d30fe64a620b1a65,SRC_LDN60308,Greencroft Gardens,51.545506,-0.180143,Out of service
16f60abada0c6e46aec7be29a16d05f1,SRC_LDN60309,Greenland Street,51.538454,-0.141014,In service
e47bd79901f90f2cc539e45c205b4800,SRC_LDN60311,Harlequin Shopping Centre,51.655235,-0.392357,In service
82ac5ef22d6c457c4b4b0ba73f0ed930,SRC_LDN60312,Harrow Civic Centre Car Park,51.589941,-0.332906,In service
9504c1af6b347e373fac1baceabf46ef,SRC_LDN60313,Hatfield Road Car Park,51.506722,-0.585805,In service
22764440b2c9f2fb903ce8957a2aa01f,SRC_LDN60315,Heathrow Airport Terminal 1,51.472202,-0.452016,Out of service
d8cbeb88c52aacb0c5087b874d44a229,SRC_LDN60316,Heathrow Airport Terminal 3,51.471399,-0.455254,Out of service
b7545f7b47b6048a7b6409bc345d2a9c,SRC_LDN60317,Heathrow Airport Terminal 4,51.459190,-0.445245,In service
378d72809abd14a5b67378228e9304e6,SRC_LDN60318,Heathrow Airport Terminal 5,51.472410,-0.490022,Out of service
a933845584061f71dcaf5044998c7980,SRC_LDN60319,Herschel Car Park,51.507711,-0.594780,Out of service
99e8052e09a34539245a1c7af9617fe3,SRC_LDN60321,High Street Purley,51.337792,-0.115663,In service
75e785cc9a3945b6e57db6e924db2f28,SRC_LDN60322,Highgrove Pool,51.580227,-0.409178,In service
03250ff73b1415d706a3bbdcaab0f475,SRC_LDN60324,Hillingdon Sports and Leisure Complex ,51.552936,-0.467928,In service
bc80062ea0785aa09feff108dea55ed2,SRC_LDN60326,Holbeach Road Car Park,51.446872,-0.021691,In service
64fdc1ccef34439fd0abe59a5fae6869,SRC_LDN60327,Holborn Studios,51.533920,-0.092738,Out of service
71a8117eb8bb945afdcd7551e28a6b53,SRC_LDN60328,Holland Street,51.506937,-0.100710,In service
d0b416a4ccac7ca256e9e0b8d137ec0b,SRC_LDN60329,Homerton Hospital Car park,51.549749,-0.045288,In service
df3c83cabeab2f43401dc6a7006c2d2a,SRC_LDN60330,Hook Road Car Park,51.367871,-0.306275,In service
7493594cefaf0a08a47135ea019ac24a,SRC_LDN60331,Horseferry Place,51.482478,-0.013410,In service
d05854f0a3eb6b2b5a879183bee5b54c,SRC_LDN60332,Horseferry Road,51.494795,-0.130243,In service
0e8970a411a619a5812f91322963ef99,SRC_LDN60333,Horselydown Lane,51.502992,-0.076609,Out of service
9e2a64855e05b663520ccbc2581b7998,SRC_LDN60334,Ikea Croydon,51.379884,-0.123865,In service
c28d7fcab728585c954bfc481edb2f43,SRC_LDN60335,Ikea Wembley 1,51.553277,-0.260264,In service
6fb46146d54b9533b525dedc9308db3f,SRC_LDN60336,Ilford Town Hall Car Park,51.558409,0.074567,In service
f768624b1f592ea6c9b2d6b7174e38f2,SRC_LDN60338,Jemca Edgware Road,51.580783,-0.242659,In service
09a263c7643feee92b371e16cc0632e2,SRC_LDN60340,Kempton Park Race Course,51.418503,-0.408629,In service
c36342aacc12bde610850d6ba7300a3e,SRC_LDN60341,King George Hospital 1,51.580545,0.112121,In service
